Consulta de Precios y Stock,,,,,,
,,,,,,
Código,Producto,GENERAL,DEPOSITO,Proveedor,Unidad,Observaciones
-,CLIPS N°4 33MM X100U,700.00,0.00,,UNIDAD,
0,VARIOS,0.00,-280.00,,UNIDAD,
0185,CREMA DE LECHE VARILAC 4 LT POTE,"32,000.00",-13.00,,UNIDAD,
02,DULCE DE LECHE LA PUNILLA 10 KG TARRO,"33,000.00",0.00,BYC,UNIDAD,
03,DULCE DEL LECHE TOMASITA 10 KG TARRO,"33,500.00",98.00,NICCO,UNIDAD,
03292,SORBETES POLIPAPEL C/PLATEADO X 25 U,"2,500.00",0.00,,UNIDAD,
0392,SORBETES POLIPAPEL C/DORADO X 25 U,"2,500.00",-1.00,,UNIDAD,
08,CEREZAS SUELTA KG,"25,000.00",0.00,LA CASA DE DON LUCAS,UNIDAD,
10,COCO RALLADO SUELTO KG,"17,000.00",-63.35,NICCO,KG,
100,BLONDAS,0.00,-26.00,,KG,
100-1,POCHOCLERA GRANDE BLANCA C/BASE X1,300.00,0.00,,UNIDAD,
100.,POCHOCLERA GRANDE BLANCA C/BASE X10,"2,500.00",-2.00,,UNIDAD,
1000,PAPEL SULFITO RESMA (52X70) KG,"2,400.00",0.00,VASA,UNIDAD,
1001,PAPEL SULFITO RESMA (52X70) 1/2 KG,"1,800.00",0.00,VASA,UNIDAD,
1006,CAJA VINO RIGIDA IMPRESA ROJA X 1U,"2,200.00",0.00,TEIXHLER CAJAS,UNIDAD,
1008,CAJA VINO RIGIDA IMPRESA KRAFT X 1U,"2,000.00",0.00,SANTA CAJA,UNIDAD,
1012,"CAJA MALETIN MASAS 1/4 KG (16,5X13X4) X 1U",600.00,0.00,TEIXHLER CAJAS,UNIDAD,
1013,CAJA MALETIN MASAS 1/2 KG ( 20.6X15.5X5) X 1U,850.00,0.00,TEIXHLER CAJAS,UNIDAD,
1014,CAJA MALETIN MASAS 1 KG ( 26X18.9X4.8) X 1U,"1,000.00",0.00,TEIXHLER CAJAS,UNIDAD,
